owner	kind	row	column	value	lineage
cycles	generator_3	5	-	0	195643
cycles	generator_support	3	-	8:1	195643
cycles	generator_4	0	-	1	195644
cycles	generator_4	1	-	1	195644
cycles	generator_4	2	-	0	195644
cycles	generator_4	3	-	1	195644
cycles	generator_4	4	-	-1	195644
cycles	generator_4	5	-	0	195644
cycles	generator_support	4	-	16:1	195644
cycles	generator_5	0	-	1	195645
cycles	generator_5	1	-	1	195645
cycles	generator_5	2	-	0	195645
cycles	generator_5	3	-	1	195645
cycles	generator_5	4	-	-1	195645
cycles	generator_5	5	-	0	195645
cycles	generator_support	5	-	32:1	195645
cycles	generator_6	0	-	1	195646
cycles	generator_6	1	-	1	195646
cycles	generator_6	2	-	0	195646
cycles	generator_6	3	-	-1	195646
cycles	generator_6	4	-	1	195646
cycles	generator_6	5	-	0	195646
cycles	generator_support	6	-	64:1	195646
fiber_0	summary	0	0	2187:16:4:1:0	1711186366924054084
fiber_0	target	0	-	1/1	1711186366924054084
fiber_0	target	1	-	1/1	1711186366924054084
fiber_0	target	2	-	0/1	1711186366924054084
fiber_0	target	3	-	1/1	1711186366924054084
fiber_0	target	4	-	-1/1	1711186366924054084
fiber_0	target	5	-	0/1	1711186366924054084
fiber_0	realizer_0	0	-	0	1711186366924054085
fiber_0	realizer_0	1	-	0	1711186366924054085
fiber_0	realizer_0	2	-	-1	1711186366924054085
fiber_0	realizer_0	3	-	0	1711186366924054085
fiber_0	realizer_0	4	-	1	1711186366924054085
fiber_0	realizer_0	5	-	1	1711186366924054085
fiber_0	realizer_0	6	-	0	1711186366924054085
fiber_0	realizer_support	0	-	52:0:1	1711186366924054085
fiber_0	realizer_1	0	-	0	1711186366924054086
fiber_0	realizer_1	1	-	0	1711186366924054086
fiber_0	realizer_1	2	-	-1	1711186366924054086
fiber_0	realizer_1	3	-	1	1711186366924054086
fiber_0	realizer_1	4	-	0	1711186366924054086
fiber_0	realizer_1	5	-	1	1711186366924054086
fiber_0	realizer_1	6	-	0	1711186366924054086
fiber_0	realizer_support	1	-	44:0:1	1711186366924054086
fiber_0	realizer_2	0	-	0	1711186366924054087
fiber_0	realizer_2	1	-	0	1711186366924054087
fiber_0	realizer_2	2	-	-1	1711186366924054087
fiber_0	realizer_2	3	-	1	1711186366924054087
fiber_0	realizer_2	4	-	1	1711186366924054087
fiber_0	realizer_2	5	-	0	1711186366924054087
fiber_0	realizer_2	6	-	0	1711186366924054087
fiber_0	realizer_support	2	-	28:0:1	1711186366924054087
fiber_0	realizer_3	0	-	0	1711186366924054088
fiber_0	realizer_3	1	-	0	1711186366924054088
fiber_0	realizer_3	2	-	0	1711186366924054088
fiber_0	realizer_3	3	-	-1	1711186366924054088
fiber_0	realizer_3	4	-	1	1711186366924054088
fiber_0	realizer_3	5	-	1	1711186366924054088
fiber_0	realizer_3	6	-	0	1711186366924054088
fiber_0	realizer_support	3	-	56:0:1	1711186366924054088
fiber_0	realizer_4	0	-	0	1711186366924054089
fiber_0	realizer_4	1	-	0	1711186366924054089
fiber_0	realizer_4	2	-	0	1711186366924054089
fiber_0	realizer_4	3	-	0	1711186366924054089
fiber_0	realizer_4	4	-	0	1711186366924054089
fiber_0	realizer_4	5	-	1	1711186366924054089
fiber_0	realizer_4	6	-	0	1711186366924054089
fiber_0	realizer_support	4	-	32:1:1	1711186366924054089
fiber_0	realizer_5	0	-	0	1711186366924054090
fiber_0	realizer_5	1	-	0	1711186366924054090
fiber_0	realizer_5	2	-	0	1711186366924054090
fiber_0	realizer_5	3	-	0	1711186366924054090
fiber_0	realizer_5	4	-	1	1711186366924054090
fiber_0	realizer_5	5	-	0	1711186366924054090
fiber_0	realizer_5	6	-	0	1711186366924054090
fiber_0	realizer_support	5	-	16:1:1	1711186366924054090
fiber_0	realizer_6	0	-	0	1711186366924054091
fiber_0	realizer_6	1	-	0	1711186366924054091
fiber_0	realizer_6	2	-	0	1711186366924054091
fiber_0	realizer_6	3	-	1	1711186366924054091
fiber_0	realizer_6	4	-	-1	1711186366924054091
fiber_0	realizer_6	5	-	1	1711186366924054091
fiber_0	realizer_6	6	-	0	1711186366924054091
fiber_0	realizer_support	6	-	56:0:1	1711186366924054091
fiber_0	realizer_7	0	-	0	1711186366924054092
fiber_0	realizer_7	1	-	0	1711186366924054092
fiber_0	realizer_7	2	-	0	1711186366924054092
fiber_0	realizer_7	3	-	1	1711186366924054092
fiber_0	realizer_7	4	-	0	1711186366924054092
fiber_0	realizer_7	5	-	0	1711186366924054092
fiber_0	realizer_7	6	-	0	1711186366924054092
fiber_0	realizer_support	7	-	8:1:1	1711186366924054092
fiber_0	realizer_8	0	-	0	1711186366924054093
fiber_0	realizer_8	1	-	0	1711186366924054093
fiber_0	realizer_8	2	-	0	1711186366924054093
fiber_0	realizer_8	3	-	1	1711186366924054093
fiber_0	realizer_8	4	-	1	1711186366924054093
fiber_0	realizer_8	5	-	-1	1711186366924054093
fiber_0	realizer_8	6	-	0	1711186366924054093
fiber_0	realizer_support	8	-	56:0:1	1711186366924054093
fiber_0	realizer_9	0	-	0	1711186366924054094
fiber_0	realizer_9	1	-	0	1711186366924054094
fiber_0	realizer_9	2	-	1	1711186366924054094
fiber_0	realizer_9	3	-	-1	1711186366924054094
fiber_0	realizer_9	4	-	0	1711186366924054094
fiber_0	realizer_9	5	-	1	1711186366924054094
fiber_0	realizer_9	6	-	0	1711186366924054094
fiber_0	realizer_support	9	-	44:0:1	1711186366924054094
fiber_0	realizer_10	0	-	0	1711186366924054095
fiber_0	realizer_10	1	-	0	1711186366924054095
fiber_0	realizer_10	2	-	1	1711186366924054095
fiber_0	realizer_10	3	-	-1	1711186366924054095
fiber_0	realizer_10	4	-	1	1711186366924054095
fiber_0	realizer_10	5	-	0	1711186366924054095
fiber_0	realizer_10	6	-	0	1711186366924054095
fiber_0	realizer_support	10	-	28:0:1	1711186366924054095
fiber_0	realizer_11	0	-	0	1711186366924054096
fiber_0	realizer_11	1	-	0	1711186366924054096
fiber_0	realizer_11	2	-	1	1711186366924054096
fiber_0	realizer_11	3	-	0	1711186366924054096
fiber_0	realizer_11	4	-	-1	1711186366924054096
fiber_0	realizer_11	5	-	1	1711186366924054096
fiber_0	realizer_11	6	-	0	1711186366924054096
fiber_0	realizer_support	11	-	52:0:1	1711186366924054096
fiber_0	realizer_12	0	-	0	1711186366924054097
fiber_0	realizer_12	1	-	0	1711186366924054097
fiber_0	realizer_12	2	-	1	1711186366924054097
fiber_0	realizer_12	3	-	0	1711186366924054097
fiber_0	realizer_12	4	-	0	1711186366924054097
fiber_0	realizer_12	5	-	0	1711186366924054097
fiber_0	realizer_12	6	-	0	1711186366924054097
