kind	head	detail	form	witness
transport	f.toFun	symmetry 0 substitution 0 arity 0	f.toFun  = f 	
transport	f_int	symmetry 0 substitution 0 arity 0	f_int x0 x1 x2 x3 = f_nat x0 x1 x2 x4	
transport	f_int	symmetry 0 substitution 0 arity 0	f_int x0 x1 x2 x3 = f_nat x0 x4 x2 x5	
transport	factoredNumbers	symmetry 0 substitution 1 arity 0	factoredNumbers x0 = factoredNumbers x1	
transport	fermatNumber	symmetry 0 substitution 0 arity 0	fermatNumber x0 = 17 	
transport	fermatNumber	symmetry 0 substitution 0 arity 0	fermatNumber x0 = 3 	
transport	fermatNumber	symmetry 0 substitution 0 arity 0	fermatNumber x0 = 5 	
transport	finGcdMap	symmetry 0 substitution 0 arity 0	finGcdMap x0 = r 	
transport	finrank	symmetry 0 substitution 4 arity 0	finrank x0 x1 = Units.rank x2	
transport	finrank	symmetry 0 substitution 4 arity 0	finrank x0 x1 = finrank x0 x2	
transport	finrank	symmetry 0 substitution 4 arity 0	finrank x0 x1 = finrank x2 x3	
transport	finrank	symmetry 0 substitution 4 arity 0	finrank x0 x1 = n.totient 	
transport	finrank	symmetry 0 substitution 4 arity 0	finrank x0 x1 = nrRealPlaces x1	
transport	fromZetaAut	symmetry 0 substitution 0 arity 0	fromZetaAut x0 x1 x2 = μ 	
transport	g	symmetry 0 substitution 0 arity 0	g x0 x1 = 0 	
transport	gammaFactor	symmetry 0 substitution 0 arity 0	gammaFactor x0 x1 = Gammaℝ x1	
transport	gammaFactor	symmetry 0 substitution 0 arity 0	gammaFactor x0 x1 = Gammaℝ x2	
transport	gaussSum	symmetry 0 substitution 0 arity 0	gaussSum x0 x1 = 0 	
transport	harmonic	symmetry 0 substitution 0 arity 0	harmonic x0 = 0 	
transport	hurwitzEvenFEPair	symmetry 0 substitution 1 arity 0	hurwitzEvenFEPair x0 = hurwitzEvenFEPair x1	
transport	hurwitzZeta	symmetry 0 substitution 0 arity 0	hurwitzZeta x0 = riemannZeta 	
transport	hurwitzZetaEven	symmetry 0 substitution 1 arity 0	hurwitzZetaEven x0 = riemannZeta 	
transport	hurwitzZetaEven	symmetry 0 substitution 1 arity 0	hurwitzZetaEven x0 x1 = 0 	
transport	hurwitzZetaEven	symmetry 0 substitution 1 arity 0	hurwitzZetaEven x0 x1 = hurwitzZetaEven x2 x1	
transport	hurwitzZetaOdd	symmetry 0 substitution 0 arity 0	hurwitzZetaOdd x0 x1 = 0 	
transport	hζ.integralPowerBasis.dim	symmetry 0 substitution 0 arity 0	hζ.integralPowerBasis.dim  = φ x0	
