species	head	statement	verdict	organ
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x3 x1 x2 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x3 x2 x0 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	ordinaryHypergeometricSeries	ordinaryHypergeometricSeries x0 x1 x2 x3 = ordinaryHypergeometricSeries x3 x2 x1 x0	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-3	polar	polar x0 x1 x2 = polar x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	polar	polar x0 x1 x2 = polar x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	polar	polar x0 x1 x2 = polar x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	polar	polar x0 x1 x2 = polar x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	riemannianEDist	riemannianEDist x0 x1 x2 = riemannianEDist x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	riemannianEDist	riemannianEDist x0 x1 x2 = riemannianEDist x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	riemannianEDist	riemannianEDist x0 x1 x2 = riemannianEDist x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	riemannianEDist	riemannianEDist x0 x1 x2 = riemannianEDist x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	single	single x0 x1 x2 = single x0 x2 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	single	single x0 x1 x2 = single x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	single	single x0 x1 x2 = single x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	single	single x0 x1 x2 = single x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	slope	slope x0 x1 x2 = slope x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	slope	slope x0 x1 x2 = slope x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	slope	slope x0 x1 x2 = slope x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	slope	slope x0 x1 x2 = slope x2 x1 x0	single-witness	symmetric-pair-sum-3
