path	lines	public_items	kernels
soma/life/src/mathematical_particle/production_aperture/native_terrain_types.rs	110	9	0
soma/life/src/mathematical_particle/production_aperture/rest.rs	439	14	0
soma/life/src/mathematical_particle/production_aperture/tests.rs	145	0	0
soma/life/src/mathematical_particle/production_aperture/types.rs	156	13	0
soma/life/src/mathematical_particle/production_aperture/wire.rs	86	5	0
soma/life/src/mathematical_particle/recurrence.rs	415	24	0
soma/life/src/mathematical_particle/retained_boundary.rs	23	0	0
soma/life/src/mathematical_particle/retained_boundary/rest.rs	404	12	0
soma/life/src/mathematical_particle/retained_boundary/system.rs	161	10	0
soma/life/src/mathematical_particle/retained_boundary/tests.rs	101	0	0
soma/life/src/mathematical_particle/retained_boundary/types.rs	148	14	0
soma/life/src/mathematical_particle/retained_boundary/validation.rs	236	3	0
soma/life/src/mathematical_particle/sameness.rs	565	14	0
soma/life/src/mathematical_particle/sameness/diagram.rs	406	6	0
soma/life/src/mathematical_particle/sameness/history.rs	284	9	0
soma/life/src/mathematical_particle/sameness/receipt.rs	120	20	0
soma/life/src/mathematical_particle/sameness/receivers.rs	216	15	0
soma/life/src/mathematical_particle/tests.rs	1094	0	0
soma/life/src/mathematical_particle/tests/attacks.rs	959	0	0
soma/life/src/mathematical_particle/validation.rs	577	3	0
soma/life/src/mathematical_particle/validation/typing.rs	253	11	0
soma/life/src/mathematical_source.rs	786	29	0
soma/life/src/mathematical_source/acoustic.rs	261	4	0
soma/life/src/mathematical_source/correspondence.rs	281	7	0
soma/life/src/mathematical_source/optical_holons.rs	522	26	0
soma/life/src/mathematical_source/optical_holons/growth.rs	1538	1	0
soma/life/src/mathematical_source/optical_recovery.rs	972	22	0
soma/life/src/mathematical_source/raster.rs	232	7	0
soma/life/src/mathematical_source/tests.rs	260	0	0
soma/life/src/morphological_language.rs	270	9	0
soma/life/src/morphological_language/condition_cuda.rs	1284	15	0
soma/life/src/morphological_language/conduct.rs	1136	69	0
soma/life/src/morphological_language/conduct_cuda.rs	1457	34	0
soma/life/src/morphological_language/current.rs	821	10	0
soma/life/src/morphological_language/ecology.rs	3032	18	0
soma/life/src/morphological_language/generated.rs	444	22	0
soma/life/src/morphological_language/generator_rest.rs	559	12	0
soma/life/src/morphological_language/tests.rs	1159	0	0
soma/life/src/presentation_quotient.rs	1173	27	0
soma/life/src/reconstruction_fiber.rs	683	20	0
soma/life/src/reconstruction_fiber/edit.rs	181	5	0
soma/life/src/reconstruction_fiber/tests.rs	333	0	0
soma/life/src/recurrent_section.rs	815	21	0
soma/life/src/recurrent_section_cuda.rs	489	15	0
soma/life/src/reintegrating_elaboration.rs	1493	55	0
soma/life/src/relational_language.rs	69	0	0
soma/life/src/relational_language/codec.rs	1352	49	0
soma/life/src/relational_language/ecology.rs	1722	27	0
soma/life/src/relational_language/tests.rs	1093	0	0
soma/life/src/relational_language/transport.rs	543	24	0
soma/life/src/relational_language/types.rs	438	40	0
soma/life/src/research_intelligence.rs	828	19	0
soma/life/src/resonance_ecology.rs	1076	71	0
soma/life/src/resonance_ecology/ecology.rs	570	12	0
soma/life/src/resonance_ecology/tests.rs	371	0	0
soma/life/src/returned_conduct.rs	2459	63	0
soma/life/src/returned_contact_cuda.rs	1126	24	0
soma/life/src/suffix_ecology.rs	3018	95	0
soma/life/src/synchronized_occurrence.rs	413	25	0
soma/life/src/synchronized_occurrence/chart.rs	848	11	0
soma/life/src/synchronized_occurrence/ecology.rs	526	30	0
soma/life/src/synchronized_occurrence/tests.rs	430	0	0
soma/life/src/text_material.rs	2036	32	0
