kind	head	detail	form	witness
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = 0 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = 1 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = 12 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = 4 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = Finset.card x1	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = Fintype.card x0	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = H.index 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = Ideal.ramificationIdxIn x1 x2	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = Module.finrank x1 x2	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = Nat.card x1	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = Nat.totient x1	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = P.normalizer.index 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = finrank x1 x2	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = hs.toFinset.card 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = if x1 x2 x3 x4 x5 x6 x7	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = n 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = n.totient 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = orderOf x1	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = p 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = pb.dim 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = s.card 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = s.ncard 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 = s.toFinset.card 	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 x1 = finrank x2 x2 x3	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 x1 = finrank x2 x3	
transport	Nat.card	symmetry 0 substitution 22 arity 0	Nat.card x0 x1 = n 	
transport	Nat.cast	symmetry 0 substitution 0 arity 0	Nat.cast x0 = WithBot.some x0	
transport	Nat.cast	symmetry 0 substitution 0 arity 0	Nat.cast x0 = WithTop.some x0	
transport	Nat.castRingHom	symmetry 0 substitution 0 arity 0	Nat.castRingHom x0 = RingHom.id x0	
transport	Nat.choose	symmetry 0 substitution 1 arity 0	Nat.choose  = fast_choose 	
transport	Nat.choose	symmetry 0 substitution 1 arity 0	Nat.choose x0 x1 = Nat.choose x0 x2	
transport	Nat.clog	symmetry 0 substitution 0 arity 0	Nat.clog x0 x1 = 0 	
transport	Nat.find	symmetry 0 substitution 2 arity 0	Nat.find x0 = Group.nilpotencyClass x1	
transport	Nat.find	symmetry 0 substitution 2 arity 0	Nat.find x0 = Nat.find x1	
transport	Nat.find	symmetry 0 substitution 2 arity 0	Nat.find x0 x1 = Fin.find x2 x3 x4	
transport	Nat.findGreatest	symmetry 0 substitution 0 arity 0	Nat.findGreatest x0 x1 = 0 	
transport	Nat.gcd	symmetry 0 substitution 0 arity 0	Nat.gcd x0 x1 = 1 	
transport	Nat.gcd	symmetry 0 substitution 0 arity 0	Nat.gcd x0 x1 = d 	
transport	Nat.gcd	symmetry 0 substitution 0 arity 0	Nat.gcd x0 x1 = x 	
transport	Nat.gcd	symmetry 0 substitution 0 arity 0	Nat.gcd x0 x1 = y 	
transport	Nat.lcm	symmetry 0 substitution 0 arity 0	Nat.lcm x0 x1 = m 	
transport	Nat.log	symmetry 0 substitution 0 arity 0	Nat.log x0 x1 = 0 	
transport	Nat.log	symmetry 0 substitution 0 arity 0	Nat.log x0 x1 = k 	
transport	Nat.log2	symmetry 0 substitution 0 arity 0	Nat.log2 x0 = Nat.log x1 x0	
transport	Nat.mod	symmetry 0 substitution 1 arity 0	Nat.mod x0 x1 = Nat.mod x2 x1	
transport	Nat.mod	symmetry 0 substitution 1 arity 0	Nat.mod x0 x1 = c 	
transport	Nat.mod	symmetry 0 substitution 1 arity 0	Nat.mod x0 x1 = nat_lit x2	
transport	Nat.pow	symmetry 0 substitution 0 arity 0	Nat.pow x0 x1 = a 	
transport	Nat.pow	symmetry 0 substitution 0 arity 0	Nat.pow x0 x1 = c 	
transport	Nat.pow	symmetry 0 substitution 0 arity 0	Nat.pow x0 x1 = nat_lit x2	
transport	Nat.primeFactorsList	symmetry 0 substitution 0 arity 0	Nat.primeFactorsList x0 = l 	
transport	Nat.rec	symmetry 0 substitution 0 arity 0	Nat.rec x0 x1 x2 = h x3 x4	
transport	Nat.rec	symmetry 0 substitution 0 arity 0	Nat.rec x0 x1 x2 = h0 	
transport	Nat.rec	symmetry 0 substitution 0 arity 0	Nat.rec x0 x1 x2 x3 = h x4 x1	
transport	Nat.sqrt	symmetry 0 substitution 0 arity 0	Nat.sqrt x0 = y 	
transport	NatIso.op	symmetry 0 substitution 0 arity 0	NatIso.op x0 = Iso.refl x1	
transport	NatIso.unop	symmetry 0 substitution 0 arity 0	NatIso.unop x0 = Iso.refl x1	
transport	NatOrdinal.toOrdinal.symm	symmetry 0 substitution 0 arity 0	NatOrdinal.toOrdinal.symm  = Ordinal.toNatOrdinal 	
transport	NatTrans.app	symmetry 0 substitution 0 arity 0	NatTrans.app x0 x1 = 𝟙 x2	
transport	NatTrans.leftDerived	symmetry 0 substitution 0 arity 0	NatTrans.leftDerived x0 x1 = 𝟙 x2	
transport	NatTrans.leftDerivedToHomotopyCategory	symmetry 0 substitution 0 arity 0	NatTrans.leftDerivedToHomotopyCategory x0 = 𝟙 x1	
transport	NatTrans.leftOp	symmetry 0 substitution 0 arity 0	NatTrans.leftOp x0 = 𝟙 x1	
transport	NatTrans.mapHomologicalComplex	symmetry 0 substitution 0 arity 0	NatTrans.mapHomologicalComplex x0 x1 = 𝟙 x2	
transport	NatTrans.mapHomotopyCategory	symmetry 0 substitution 0 arity 0	NatTrans.mapHomotopyCategory x0 x1 = 𝟙 x2	
transport	NatTrans.op	symmetry 0 substitution 0 arity 0	NatTrans.op x0 = 𝟙 x1	
transport	NatTrans.removeLeftOp	symmetry 0 substitution 0 arity 0	NatTrans.removeLeftOp x0 = 𝟙 x1	
transport	NatTrans.removeOp	symmetry 0 substitution 0 arity 0	NatTrans.removeOp x0 = 𝟙 x1	
transport	NatTrans.removeRightOp	symmetry 0 substitution 0 arity 0	NatTrans.removeRightOp x0 = 𝟙 x1	
transport	NatTrans.removeUnop	symmetry 0 substitution 0 arity 0	NatTrans.removeUnop x0 = 𝟙 x1	
transport	NatTrans.rightDerived	symmetry 0 substitution 0 arity 0	NatTrans.rightDerived x0 x1 = 𝟙 x2	
transport	NatTrans.rightDerivedToHomotopyCategory	symmetry 0 substitution 0 arity 0	NatTrans.rightDerivedToHomotopyCategory x0 = 𝟙 x1	
transport	NatTrans.rightOp	symmetry 0 substitution 0 arity 0	NatTrans.rightOp x0 = 𝟙 x1	
transport	NatTrans.unop	symmetry 0 substitution 0 arity 0	NatTrans.unop x0 = 𝟙 x1	
transport	Nimber.toOrdinal	symmetry 0 substitution 0 arity 0	Nimber.toOrdinal x0 = a 	
transport	Nimber.toOrdinal.symm	symmetry 0 substitution 0 arity 0	Nimber.toOrdinal.symm  = Ordinal.toNimber 	
transport	NonUnitalAlgHom.range	symmetry 0 substitution 0 arity 0	NonUnitalAlgHom.range x0 = S 	
transport	NonUnitalRingHom.id	symmetry 0 substitution 0 arity 0	NonUnitalRingHom.id x0 x1 = x 	
transport	NonUnitalRingHom.mk	symmetry 0 substitution 0 arity 0	NonUnitalRingHom.mk x0 x1 x2 = f 	
transport	NonUnitalRingHom.srange	symmetry 0 substitution 0 arity 0	NonUnitalRingHom.srange x0 = s 	
transport	NonUnitalStarAlgHom.range	symmetry 0 substitution 0 arity 0	NonUnitalStarAlgHom.range x0 = S 	
transport	NonUnitalStarAlgHom.range	symmetry 0 substitution 0 arity 0	NonUnitalStarAlgHom.range x0 = elemental x1 x2	
transport	NonUnitalSubalgebraClass.subtype	symmetry 0 substitution 0 arity 0	NonUnitalSubalgebraClass.subtype x0 = NonUnitalStarSubalgebraClass.subtype x0	
transport	NonUnitalSubringClass.subtype	symmetry 0 substitution 0 arity 0	NonUnitalSubringClass.subtype x0 = NonUnitalStarSubalgebraClass.subtype x0	
transport	NonUnitalSubringClass.subtype	symmetry 0 substitution 0 arity 0	NonUnitalSubringClass.subtype x0 = NonUnitalSubalgebraClass.subtype x1 x0	
transport	NonUnitalSubsemiringClass.subtype	symmetry 0 substitution 0 arity 0	NonUnitalSubsemiringClass.subtype x0 = NonUnitalSubalgebraClass.subtype x1 x0	
transport	Nonnegg	symmetry 1 substitution 0 arity 0	Nonnegg x0 x1 x2 x3 = Nonnegg x1 x0 x3 x2	
transport	Not	symmetry 0 substitution 0 arity 0	Not x0 = False 	
transport	Not	symmetry 0 substitution 0 arity 0	Not x0 = True 	
transport	Num.toZNum	symmetry 0 substitution 0 arity 0	Num.toZNum x0 = n 	
transport	NumberField.InfinitePlace.nrRealPlaces	symmetry 0 substitution 0 arity 0	NumberField.InfinitePlace.nrRealPlaces x0 = 0 	
transport	NumberField.classNumber	symmetry 0 substitution 0 arity 0	NumberField.classNumber x0 = 1 	
transport	N₁	symmetry 0 substitution 0 arity 0	N₁  = N₂ 	
transport	N₁.ucs	symmetry 0 substitution 0 arity 0	N₁.ucs x0 = N₁ 	
transport	OfArity	symmetry 0 substitution 0 arity 0	OfArity x0 x1 x2 = β 	
transport	OneHom.mk	symmetry 0 substitution 0 arity 0	OneHom.mk x0 x1 = f 	
transport	OnePoint.map	symmetry 0 substitution 0 arity 0	OnePoint.map x0 = id 	
transport	Oplax.StrongTrans.id	symmetry 0 substitution 0 arity 0	Oplax.StrongTrans.id x0 = 𝟙 x1	
transport	Option.rec	symmetry 0 substitution 0 arity 0	Option.rec x0 x1 = update x2 x3 x4	
transport	Option.traverse	symmetry 0 substitution 0 arity 0	Option.traverse x0 x1 = Comp.mk x2	
transport	Option.traverse	symmetry 0 substitution 0 arity 0	Option.traverse x0 x1 = pure x1	
transport	Ord.lex	symmetry 0 substitution 0 arity 0	Ord.lex x0 x1 = instOrdLexProd 	
transport	Order.cof	symmetry 0 substitution 1 arity 0	Order.cof x0 = Order.cof x1	
transport	Order.pred	symmetry 0 substitution 0 arity 0	Order.pred  = Fin.cases x0 x1 x2	
transport	Order.pred	symmetry 0 substitution 0 arity 0	Order.pred  = pred 	
transport	Order.pred	symmetry 0 substitution 0 arity 0	Order.pred x0 = 0 	
transport	Order.pred	symmetry 0 substitution 0 arity 0	Order.pred x0 = Fin.cases x1 x2 x0	
transport	Order.pred	symmetry 0 substitution 0 arity 0	Order.pred x0 = i.castSucc 	
