kind	head	detail	form	witness
transport	s.touchpointWeights	symmetry 0 substitution 0 arity 0	s.touchpointWeights x0 x1 x1 = 0 	
transport	signedDist	symmetry 0 substitution 6 arity 1	signedDist x0 x1 = signedDist x0 x2	
transport	signedDist	symmetry 0 substitution 6 arity 1	signedDist x0 x1 = signedDist x2	
transport	signedDist	symmetry 0 substitution 6 arity 1	signedDist x0 x1 x1 = 0 	
transport	signedDist	symmetry 0 substitution 6 arity 1	signedDist x0 x1 x2 = 0 	
transport	signedDist	symmetry 0 substitution 6 arity 1	signedDist x0 x1 x2 = dist x1 x2	
transport	signedDist	symmetry 0 substitution 6 arity 1	signedDist x0 x1 x2 = signedDist x0 x1 x3	
transport	signedDist	symmetry 0 substitution 6 arity 1	signedDist x0 x1 x2 = signedDist x0 x3 x4	
transport	signedDist	symmetry 0 substitution 6 arity 1	signedDist x0 x1 x2 = signedDist x3 x1 x2	
transport	smoothSheaf.eval	symmetry 0 substitution 0 arity 0	smoothSheaf.eval x0 x1 x2 x3 x4 = f x5	
transport	smoothSheafCommRing.eval	symmetry 0 substitution 0 arity 0	smoothSheafCommRing.eval x0 x1 x2 x3 x4 x5 = f x6	
transport	smoothSheafCommRing.evalHom	symmetry 0 substitution 0 arity 0	smoothSheafCommRing.evalHom x0 x1 x2 x3 x4 x5 = f x6	
transport	stereoInvFun	symmetry 0 substitution 0 arity 0	stereoInvFun x0 x1 = x 	
transport	stereoToFun	symmetry 0 substitution 0 arity 0	stereoToFun x0 x1 = w 	
transport	stereographic	symmetry 0 substitution 0 arity 0	stereographic x0 x1 = 0 	
transport	sumCongr	symmetry 0 substitution 0 arity 0	sumCongr x0 x1 = Sum.map x0 x1	
transport	support	symmetry 0 substitution 1 arity 0	support x0 = support x1	
transport	sx₁.circumcenter	symmetry 0 substitution 0 arity 0	sx₁.circumcenter  = sx₂.circumcenter 	
transport	sx₁.circumradius	symmetry 0 substitution 0 arity 0	sx₁.circumradius  = sx₂.circumradius 	
transport	sx₁.circumsphere	symmetry 0 substitution 0 arity 0	sx₁.circumsphere  = sx₂.circumsphere 	
transport	s₁.circumcenter	symmetry 0 substitution 0 arity 0	s₁.circumcenter  = s₂.circumcenter 	
transport	s₁.commonTangents	symmetry 0 substitution 0 arity 0	s₁.commonTangents x0 = s₂.commonTangents x1	
transport	s₁.mongePoint	symmetry 0 substitution 0 arity 0	s₁.mongePoint  = s₂.mongePoint 	
transport	t.altitude	symmetry 0 substitution 0 arity 0	t.altitude x0 = t.mongePlane x1 x2	
transport	t.orthocenter	symmetry 0 substitution 0 arity 0	t.orthocenter  = t.mongePoint 	
transport	tangentCoordChange	symmetry 0 substitution 1 arity 0	tangentCoordChange x0 x1 x1 x2 x3 = v 	
transport	tangentCoordChange	symmetry 0 substitution 1 arity 0	tangentCoordChange x0 x1 x2 x3 = fderivWithin x4 x5 x6 x7	
transport	tangentCoordChange	symmetry 0 substitution 1 arity 0	tangentCoordChange x0 x1 x2 x3 x4 = tangentCoordChange x0 x5 x2 x3 x6	
transport	tangentMap	symmetry 0 substitution 0 arity 0	tangentMap x0 x0 x1 = id 	
transport	tangentMapWithin	symmetry 0 substitution 0 arity 0	tangentMapWithin x0 x0 x1 x2 x3 = p 	
transport	toBasisAt	symmetry 0 substitution 0 arity 0	toBasisAt x0 x1 x2 = s x2 x3	
transport	toLocallyRingedSpace	symmetry 0 substitution 0 arity 0	toLocallyRingedSpace x0 x1 = X 	
transport	toSheafedSpace	symmetry 0 substitution 0 arity 0	toSheafedSpace x0 x1 = X 	
transport	t₁.circumsphere	symmetry 0 substitution 0 arity 0	t₁.circumsphere  = t₂.circumsphere 	
transport	t₁.orthocenter	symmetry 0 substitution 0 arity 0	t₁.orthocenter  = t₂.orthocenter 	
transport	t₂.altitude	symmetry 0 substitution 0 arity 0	t₂.altitude x0 = line x1	
transport	t₂.orthocenter	symmetry 0 substitution 0 arity 0	t₂.orthocenter  = t₁.points x0	
transport	writtenInExtChartAt	symmetry 0 substitution 0 arity 0	writtenInExtChartAt x0 x0 x1 x2 = ᶠ x3 x4	
transport	writtenInExtChartAt	symmetry 0 substitution 0 arity 0	writtenInExtChartAt x0 x0 x1 x2 x3 = y 	
transport	writtenInExtChartAt	symmetry 0 substitution 0 arity 0	writtenInExtChartAt x0 x0 x1 x2 x3 x4 = y 	
transport	writtenInExtChartAt	symmetry 0 substitution 0 arity 0	writtenInExtChartAt x0 x1 x0 x2 x3 x4 = f 	
transport	writtenInExtChartAt	symmetry 0 substitution 0 arity 0	writtenInExtChartAt x0 x1 x2 x3 x4 x5 = y 	
transport	writtenInExtChartAt	symmetry 0 substitution 0 arity 0	writtenInExtChartAt x0 x1 x2 x3 x4 x5 x6 = y 	
